Word;Meaning;Paraphrase;Example;Tag
The gap between A and B;Khoảng cách giữa A và B;The difference between A and B;The gap between women’s and men’s clothing sales widened significantly in autumn.;Grammar_Task1
A surpassed B to become...;A vượt qua B để trở thành...;A overtook B as...;Sports equipment surpassed the sales of men's clothes to become the third highest category.;Grammar_Task1
Starting at [X], [Subject] V-ed;Bắt đầu ở mức X, [Chủ ngữ] đã...;Commencing at [X], [Subject] V-ed;Starting at $40,000 in winter, women's clothing sales rose steadily throughout the year.;Grammar_Task1
A recorded a [Adj] [Noun];A ghi nhận một sự [Tính từ] [Danh từ];A saw a [Adj] [Noun] / A witnessed a [Adj] [Noun];Jewellery recorded a dramatic increase of $35,000 by the end of the period.;Grammar_Task1
Compared to / In comparison with;So với / Trong sự so sánh với;Relative to / As opposed to;Compared to the winter figures, sales in autumn were significantly higher for all items.;Grammar_Task1
Followed by [Noun/V-ing];Theo sau bởi...;Succeeded by... / Behind which was...;Women’s clothing was the most popular, followed by sports equipment and jewellery.;Grammar_Task1
A similar pattern was seen in;Một mô hình tương tự được thấy ở;A comparable trend was observed in;A similar pattern was seen in cosmetics, which also grew toward the end of the year.;Grammar_Task1
Account for / Constitute;Chiếm (bao nhiêu phần trăm/số lượng);Represent / Make up;Sales of women's clothes accounted for the largest proportion of the store's revenue.;Grammar_Task1
Reach a low of;Đạt mức thấp nhất là;Hit a bottom of / Drop to a minimum of;The sales of men's clothing reached a low of $20,000 in the spring.;Grammar_Task1
By contrast / Conversely;Ngược lại;On the other hand / In opposition;Women's sales peaked in autumn; by contrast, men's sales saw a slight decline.;Grammar_Task1
Experience a four-fold increase;Trải qua sự tăng trưởng gấp 4 lần;Quadruple in size / Increase four times;The sales of some items experienced a nearly four-fold increase over the four seasons.;Grammar_Task1
Maintain a steady rise;Duy trì sự tăng trưởng đều đặn;Keep a consistent upward trend;Unlike other categories, women's apparel maintained a steady rise every season.;Grammar_Task1
